parcel,source,owner_name,address,jurisdiction,luc,luc_desc,parcel_class,acres,assessed_land,assessed_bldg,has_building,city_department,city_intended_use,development_candidate,census_tract,lat,lon
R72 09309 0051,both,DAYTON CITY OF,MAYWOOD AVE,DAYTON,300,"Industrial, vacant land",I,0000.00630,000000000000.00,000000000000.00,N,,,Y,39113-004600-1,39.749143556992784,-84.24241036271623
R72 09403 0006,both,CITY OF DAYTON,MCCALL & HOME,DAYTON,400,Commercial vacant land,C,0000.23600,000000000000.00,000000000000.00,N,,,Y,39113-004600-1,39.7484896306996,-84.24015877228268
R72 09502 0018,both,DAYTON CITY OF,ARLINGTON AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002180.00,000000000000.00,N,Public Works,Other,Y,39113-004600-3,39.745953092941164,-84.24374169333178
R72 09502 0019,both,DAYTON CITY OF,45 ARLINGTON AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002090.00,000000000000.00,N,Public Works,Other,Y,39113-004600-3,39.745858237087695,-84.2436186704829
R72 09502 0084,county_only,CITY OF DAYTON,ARLINGTON AVE,DAYTON,400,Commercial vacant land,C,0000.00000,000000000000.00,000000000000.00,N,,,Y,,,
R72 09502 0088,both,CITY OF DAYTON,KINNARD AVE,DAYTON,400,Commercial vacant land,C,0000.00000,000000000000.00,000000000000.00,N,,,Y,39113-004600-3,39.74610648917425,-84.24332277962488
R72 09503 0049,both,DAYTON CITY OF,419 GROVELAND AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000001620.00,000000000000.00,N,Planning,Surplus,Y,39113-004200-1,39.74597959639899,-84.24037886581304
R72 09503 0055,both,CITY OF DAYTON,MULFORD AVE,DAYTON,400,Commercial vacant land,C,0000.00000,000000000900.00,000000000000.00,N,,,Y,39113-004200-1,39.74468640648832,-84.24176756003041
R72 09503 0056,both,CITY OF DAYTON,MULFORD AVE,DAYTON,400,Commercial vacant land,C,0000.00000,000000000900.00,000000000000.00,N,,,Y,39113-004200-1,39.744684063441106,-84.2414919506001
R72 09504 0018,both,CITY OF DAYTON,469 DEARBORN AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002090.00,000000000000.00,N,Planning,Surplus,Y,39113-004200-1,39.74482540486581,-84.23925250831853
R72 09504 0048,county_only,CITY OF DAYTON,DEARBORN AVE,DAYTON,400,Commercial vacant land,C,0000.00000,000000000000.00,000000000000.00,N,,,Y,,,
R72 09505 0034,both,DAYTON CITY OF,437 RUTH AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000001760.00,000000000000.00,N,Planning,Surplus,Y,39113-004200-3,39.74558065588141,-84.23798183835083
R72 09505 0035,both,DAYTON CITY OF,RUTH AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000001760.00,000000000000.00,N,Planning,Surplus,Y,39113-004200-3,39.74549482623053,-84.23810629126555
