parcel,source,owner_name,address,jurisdiction,luc,luc_desc,parcel_class,acres,assessed_land,assessed_bldg,has_building,city_department,city_intended_use,development_candidate,census_tract,lat,lon
A01 00104 0028,both,CITY OF DAYTON,928 MARTINDALE RD,,640,"Exempt, owned by municipals",E,0000.75000,000000007140.00,000000000000.00,N,Aviation,,N,39113-110100-1,,
A01 00104 0029,both,CITY OF DAYTON,MARTINDALE RD,,640,"Exempt, owned by municipals",E,0000.75000,000000007140.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00104 0034,both,CITY OF DAYTON,892 MARTINDALE RD,,640,"Exempt, owned by municipals",E,0000.58000,000000005570.00,000000000000.00,N,Aviation,,N,39113-110100-1,,
A01 00104 0042,both,CITY OF DAYTON,940 MARTINDALE RD,,640,"Exempt, owned by municipals",E,0000.50000,000000004730.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00104 0072,both,CITY OF DAYTON,955 MARTINDALE RD,,640,"Exempt, owned by municipals",E,0000.94700,000000009240.00,000000000000.00,N,Aviation,,N,39113-110100-1,,
A01 00105 0013,county_only,DAYTON CITY OF,JACKSON RD,,101,,A,0000.01900,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00105 0017,county_only,CITY OF DAYTON,1440 JACKSON RD,,101,,A,0000.05100,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00105 0024,county_only,CITY OF DAYTON,JACKSON RD,,640,"Exempt, owned by municipals",E,0000.11100,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00105 0027,county_only,DAYTON CITY OF,10248 FREDERICK PIKE,,640,"Exempt, owned by municipals",E,0000.10000,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00105 0028,county_only,CITY OF DAYTON,10222 FREDERICK PIKE,,640,"Exempt, owned by municipals",E,0000.10000,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00105 0031,county_only,DAYTON CITY OF,10314 FREDERICK PIKE,,640,"Exempt, owned by municipals",E,0000.08500,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00105 0034,county_only,CITY OF DAYTON,10136 FREDERICK PIKE,,640,"Exempt, owned by municipals",E,0000.07700,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00105 0041,county_only,CITY OF DAYTON,10180 FREDERICK PIKE,,640,"Exempt, owned by municipals",E,0000.07100,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00105 0067,county_only,CITY OF DAYTON,JACKSON RD,,100,,A,0000.06300,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00105 0069,county_only,CITY OF DAYTON,1464 JACKSON RD,,501,,R,0000.05200,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00105 0081,county_only,CITY OF DAYTON,10300 FREDERICK PIKE,,640,"Exempt, owned by municipals",E,0000.16400,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00105 0084,both,CITY OF DAYTON,JACKSON RD,,640,"Exempt, owned by municipals",E,0001.33600,000000013230.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00105 0085,both,CITY OF DAYTON,JACKSON RD,,640,"Exempt, owned by municipals",E,0001.33600,000000013230.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00105 0086,both,CITY OF DAYTON,JACKSON RD,,640,"Exempt, owned by municipals",E,0001.63600,000000016700.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00105 0088,both,CITY OF DAYTON,1968 JACKSON RD,,501,,R,0001.63600,000000014860.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00105 0089,both,CITY OF DAYTON,JACKSON RD,,100,,A,0001.32500,000000007960.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00105 0090,both,CITY OF DAYTON,1978 JACKSON RD,,100,,A,0001.24000,000000007440.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00105 0091,both,CITY OF DAYTON,JACKSON RD,,100,,A,0001.24000,000000007450.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00105 0092,city_layer_only,,,,,,,,,,N,,,N,,,
A01 00105 0093,city_layer_only,,,,,,,,,,N,,,N,,,
A01 00105 0095,city_layer_only,,,,,,,,,,N,,,N,,,
A01 00105 0097,city_layer_only,,,,,,,,,,N,,,N,,,
A01 00105 0098,city_layer_only,,,,,,,,,,N,,,N,,,
A01 00105 0099,city_layer_only,,,,,,,,,,N,,,N,,,
A01 00105 0100,city_layer_only,,,,,,,,,,N,,,N,,,
A01 00105 0105,both,CITY OF DAYTON,JACKSON RD,,101,,A,0000.54500,000000003240.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00105 0111,county_only,CITY OF DAYTON,10100 FREDERICK PIKE,,101,,A,0000.11400,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00106 0012,both,CITY OF DAYTON,3222 W NATIONAL RD,,640,"Exempt, owned by municipals",E,0002.14600,000000008820.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00106 0013,both,DAYTON CITY OF,3296 W NATIONAL RD,,640,"Exempt, owned by municipals",E,0001.07600,000000004410.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00106 0014,both,DAYTON CITY OF,3218 W NATIONAL RD,,640,"Exempt, owned by municipals",E,0002.00000,000000019110.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00106 0016,county_only,DAYTON CITY OF,3111 W NATIONAL RD,,640,"Exempt, owned by municipals",E,0001.54500,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00106 0027,both,CITY OF DAYTON,2110 W NATIONAL RD,,640,"Exempt, owned by municipals",E,0000.97000,000000015840.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00106 0028,county_only,DAYTON CITY OF,W NATIONAL RD,,640,"Exempt, owned by municipals",E,0000.09800,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00106 0030,county_only,DAYTON CITY OF,3455 W NATIONAL RD,,640,"Exempt, owned by municipals",E,0000.12600,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00106 0031,county_only,DAYTON CITY OF,3424 W NATIONAL RD,,640,"Exempt, owned by municipals",E,0000.12600,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00106 0032,county_only,CITY OF DAYTON,W NATIONAL RD,,640,"Exempt, owned by municipals",E,0000.14600,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00106 0033,county_only,DAYTON CITY OF,3501 W NATIONAL RD,,640,"Exempt, owned by municipals",E,0000.12600,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00106 0034,county_only,DAYTON CITY OF,W NATIONAL RD,,640,"Exempt, owned by municipals",E,0000.12600,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00106 0035,both,CITY OF DAYTON,3240 W NATIONAL RD,,640,"Exempt, owned by municipals",E,0002.75000,000000047880.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00106 0036,county_only,DAYTON CITY OF,3485 W NATIONAL RD,,640,"Exempt, owned by municipals",E,0000.12600,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00106 0037,both,DAYTON CITY OF,3296 W NATIONAL RD,,640,"Exempt, owned by municipals",E,0001.08300,000000020580.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00106 0039,county_only,CITY OF DAYTON,FREDERICK PIKE,,640,"Exempt, owned by municipals",E,0001.17500,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00106 0041,both,DAYTON CITY OF,3708 W NATIONAL RD,,640,"Exempt, owned by municipals",E,0001.85700,000000007110.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00106 0043,both,CITY OF DAYTON,3172 W NATIONAL RD,,640,"Exempt, owned by municipals",E,0001.03000,000000016920.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00106 0046,both,CITY OF DAYTON,FREDERICK PIKE,,640,"Exempt, owned by municipals",E,0000.58100,000000006050.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00106 0056,both,CITY OF DAYTON,FREDERICK PIKE,,640,"Exempt, owned by municipals",E,0000.58600,000000002610.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00202 0025,both,CITY OF DAYTON,11000 ENGLE RD,,640,"Exempt, owned by municipals",E,0000.37600,000000003630.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00202 0026,both,CITY OF DAYTON,11040 ENGLE RD,,640,"Exempt, owned by municipals",E,0000.36600,000000003420.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00202 0047,both,CITY OF DAYTON,11020 ENGLE RD,,640,"Exempt, owned by municipals",E,0000.37100,000000003570.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00202 0095,both,DAYTON CITY OF,11050 ENGLE RD,,640,"Exempt, owned by municipals",E,0000.27100,000000002850.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00202 0097,both,CITY OF DAYTON,ENGLE RD,,640,"Exempt, owned by municipals",E,0001.11600,000000010500.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00202 0101,both,CITY OF DAYTON,11001 COSS LN,,640,"Exempt, owned by municipals",E,0000.24200,000000002520.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00202 0102,both,DAYTON CITY OF,COSS LN,,640,"Exempt, owned by municipals",E,0000.24200,000000002520.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00202 0103,both,DAYTON CITY OF,COSS LN,,640,"Exempt, owned by municipals",E,0000.24200,000000002520.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00203 0001,both,DAYTON CITY OF,LIGHTNER RD,,640,"Exempt, owned by municipals",E,0001.79700,000001096200.00,000000000000.00,N,,,N,39113-110100-1,39.913088583033634,-84.20314732578599
A01 00203 0020,both,DAYTON CITY OF,3853 OLD SPRINGFIELD RD,,640,"Exempt, owned by municipals",E,0000.80000,000000005880.00,000000000000.00,N,,,N,39113-110100-1,39.91375400007732,-84.2037186881369
A01 00203 0039,both,DAYTON CITY OF,OLD SPRINGFIELD RD,,640,"Exempt, owned by municipals",E,0002.52000,000000025410.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00203 0041,both,DAYTON CITY OF,3901 OLD SPRINGFIELD RD,,640,"Exempt, owned by municipals",E,0000.11300,000000007700.00,000000000000.00,N,,,N,39113-110100-1,39.91309342555254,-84.202686647534
A01 00203 0042,both,DAYTON CITY OF,3901 OLD SPRINGFIELD RD,,640,"Exempt, owned by municipals",E,0000.83000,000000002920.00,000000000000.00,N,,,N,39113-110100-1,39.91309656030099,-84.20246387794924
A01 00203 0043,both,DAYTON CITY OF,OLD SPRINGFIELD RD,,640,"Exempt, owned by municipals",E,0000.45000,000000005250.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00203 0044,both,DAYTON CITY OF,OLD SPRINGFIELD RD,,640,"Exempt, owned by municipals",E,0003.60000,000000037800.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00203 0046,both,DAYTON CITY OF,3801 OLD SPRINGFIELD RD,,640,"Exempt, owned by municipals",E,0002.14600,000000008000.00,000000000000.00,N,,,N,39113-110100-1,39.91334481233906,-84.20506753064332
A01 00203 0050,both,CITY OF DAYTON,3911 OLD SPRINGFIELD RD,,640,"Exempt, owned by municipals",E,0000.66700,000000019800.00,000000000000.00,N,,,N,39113-110100-1,39.9130499217468,-84.20209078606284
A01 00204 0005,county_only,THE CITY OF DAYTON,11950 PETERS PIKE,,640,"Exempt, owned by municipals",E,0003.02100,000000013590.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00204 0006,county_only,DAYTON CITY OF,5878 LIGHTNER RD,,640,"Exempt, owned by municipals",E,0000.98500,000000004460.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00206 0004,both,DAYTON CITY OF,JACKSON RD,,101,,A,0004.32800,000000022720.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00209 0016,both,CITY OF DAYTON,STROBRIDGE RD,,640,"Exempt, owned by municipals",E,0000.60000,000000004540.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00209 0022,both,DAYTON CITY OF,4365 STROBRIDGE RD,,640,"Exempt, owned by municipals",E,0000.55000,000000002680.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00209 0026,both,CITY OF DAYTON,STROBRIDGE RD,,640,"Exempt, owned by municipals",E,0001.22100,000000006670.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00209 0027,both,CITY OF DAYTON,STROBRIDGE RD,,640,"Exempt, owned by municipals",E,0000.96900,000000004640.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00209 0028,both,CITY OF DAYTON,4390 STROBRIDGE RD,,640,"Exempt, owned by municipals",E,0000.57000,000000004280.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00209 0031,both,CITY OF DAYTON,STROBRIDGE RD,,640,"Exempt, owned by municipals",E,0000.55000,000000002680.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00209 0032,both,CITY OF DAYTON,STROBRIDGE RD,,640,"Exempt, owned by municipals",E,0000.55000,000000002680.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00209 0033,both,DAYTON CITY OF,4411 STROBRIDGE RD,,640,"Exempt, owned by municipals",E,0001.10000,000000005350.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00209 0035,both,CITY OF DAYTON,4328 STROBRIDGE RD,,640,"Exempt, owned by municipals",E,0000.51500,000000002460.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00209 0036,both,CITY OF DAYTON,4332 STROBRIDGE RD,,640,"Exempt, owned by municipals",E,0000.58000,000000002840.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00209 0039,both,DAYTON CITY OF,4288 STROBRIDGE RD,,640,"Exempt, owned by municipals",E,0001.18000,000000005790.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00209 0052,county_only,THE CITY OF DAYTON,STROBRIDGE RD,,640,"Exempt, owned by municipals",E,0000.51500,000000002460.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00209 0067,both,CITY OF DAYTON,STROBRIDGE RD,,640,"Exempt, owned by municipals",E,0000.17100,000000000820.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00214 0003,both,DAYTON CITY OF,OLD NATIONAL RD,,640,"Exempt, owned by municipals",E,0031.65000,000000316500.00,000000000000.00,N,,,N,39113-110100-1,39.891927035905326,-84.21058110412781
A01 00214 0027,both,DAYTON CITY OF,601 W NATIONAL RD,,640,"Exempt, owned by municipals",E,0025.16600,000000251660.00,000000054250.00,Y,,,N,39113-110100-1,39.89204242156486,-84.20687580942966
A01 00312 0093,both,DAYTON CITY OF,6969 BRANTFORD RD,,640,"Exempt, owned by municipals",E,0001.65700,000000033910.00,000001372490.00,Y,Water,,N,39113-110201-1,39.84846072828082,-84.21836284579767
A01 20101 0001,both,DAYTON CITY OF,4441 STROBRIDGE RD,,640,"Exempt, owned by municipals",E,0000.00000,000000006310.00,000000000000.00,N,,,N,39113-110100-1,,
A01 20101 0002,both,DAYTON CITY OF,STROBRIDGE RD,,640,"Exempt, owned by municipals",E,0000.00000,000000004880.00,000000000000.00,N,,,N,39113-110100-1,,
A01 20308 0001,both,DAYTON CITY OF,STROBRIDGE RD,,640,"Exempt, owned by municipals",E,0000.60000,000000005040.00,000000000000.00,N,,,N,39113-110100-1,,
A01 20308 0002,both,DAYTON CITY OF,4265 STROBRIDGE RD,,640,"Exempt, owned by municipals",E,0000.45000,000000003780.00,000000000000.00,N,,,N,39113-110100-1,,
A01 20308 0003,both,DAYTON CITY OF,4283 W STROBRIDGE RD,,640,"Exempt, owned by municipals",E,0000.45000,000000003780.00,000000000000.00,N,,,N,39113-110100-1,,
A01 20308 0004,both,CITY OF DAYTON,STROBRIDGE RD,,640,"Exempt, owned by municipals",E,0000.45000,000000003780.00,000000000000.00,N,,,N,39113-110100-1,,
A01 20308 0005,both,CITY OF DAYTON,STROBRIDGE RD,,640,"Exempt, owned by municipals",E,0000.45000,000000003780.00,000000000000.00,N,,,N,39113-110100-1,,
A01 20308 0006,both,CITY OF DAYTON,4333 W STROBRIDGE RD,,640,"Exempt, owned by municipals",E,0000.45000,000000003780.00,000000000000.00,N,,,N,39113-110100-1,,
A01 20308 0007,both,DAYTON CITY OF,STROBRIDGE RD,,640,"Exempt, owned by municipals",E,0000.52900,000000004440.00,000000000000.00,N,,,N,39113-110100-1,,
A01 20308 0008,county_only,THE CITY OF DAYTON,4368 W STROBRIDGE RD,,640,"Exempt, owned by municipals",E,0000.52200,000000004390.00,000000000000.00,N,,,N,39113-110100-1,,
A01 20332 0003,both,CITY OF DAYTON,FREDERICK PIKE,,640,"Exempt, owned by municipals",E,0000.00000,000000041280.00,000000000000.00,N,,,N,39113-110100-1,,
A01 20332 0004,both,CITY OF DAYTON,10189 FREDERICK PIKE,,640,"Exempt, owned by municipals",E,0000.00000,000000025870.00,000000000000.00,N,,,N,39113-110100-1,,
A01 20332 0005,both,CITY OF DAYTON,10163 FREDERICK PIKE,,640,"Exempt, owned by municipals",E,0000.00000,000000025870.00,000000000000.00,N,,,N,39113-110100-1,,
A01 20332 0006,both,DAYTON CITY OF,10135 FREDERICK PIKE,,640,"Exempt, owned by municipals",E,0000.00000,000000051610.00,000000000000.00,N,,,N,39113-110100-1,,
A01 20332 0010,both,CITY OF DAYTON,FREDERICK PIKE,,640,"Exempt, owned by municipals",E,0000.00000,000000025870.00,000000000000.00,N,,,N,39113-110100-1,,
A01 20332 0012,both,CITY OF DAYTON,FREDERICK PIKE,,640,"Exempt, owned by municipals",E,0000.00000,000000040560.00,000000000000.00,N,,,N,39113-110100-1,,
A01 21313 0003,both,CITY OF DAYTON,9651 FREDERICK PIKE,,640,"Exempt, owned by municipals",E,0000.00000,000000022000.00,000000000000.00,N,,,N,39113-110100-1,,
A01 21313 0004,both,CITY OF DAYTON,FREDERICK PIKE,,640,"Exempt, owned by municipals",E,0000.00000,000000026000.00,000000000000.00,N,,,N,39113-110100-1,,
A01 21313 0006,county_only,THE CITY OF DAYTON,9725 FREDERICK PIKE,,640,"Exempt, owned by municipals",E,0000.00000,000000027000.00,000000000000.00,N,,,N,39113-110100-1,,
A01100105 0013,both,DAYTON CITY OF,JACKSON RD,,101,,A,0043.14800,000000222040.00,000000000000.00,N,,,N,39113-110100-1,,
A01100105 0017,both,CITY OF DAYTON,1440 JACKSON RD,,101,,A,0026.23600,000000162010.00,000000000000.00,N,,,N,39113-110100-1,,
A01100105 0018,both,CITY OF DAYTON,1440 JACKSON RD,,101,,A,0034.85700,000000174960.00,000000000000.00,N,,,N,39113-110100-1,,
A01100105 0024,both,CITY OF DAYTON,JACKSON RD,,640,"Exempt, owned by municipals",E,0002.89800,000000021560.00,000000000000.00,N,,,N,39113-110100-1,,
A01100105 0027,both,DAYTON CITY OF,10248 FREDERICK PIKE,,640,"Exempt, owned by municipals",E,0000.65000,000000004840.00,000000000000.00,N,,,N,39113-110100-1,,
A01100105 0028,both,CITY OF DAYTON,10222 FREDERICK PIKE,,640,"Exempt, owned by municipals",E,0000.65200,000000004850.00,000000000000.00,N,,,N,39113-110100-1,,
A01100105 0031,both,DAYTON CITY OF,10314 FREDERICK PIKE,,640,"Exempt, owned by municipals",E,0000.81400,000000006060.00,000000000000.00,N,,,N,39113-110100-1,,
A01100105 0034,both,CITY OF DAYTON,10136 FREDERICK PIKE,,640,"Exempt, owned by municipals",E,0000.72300,000000007590.00,000000000000.00,N,,,N,39113-110100-1,,
A01100105 0041,both,CITY OF DAYTON,10180 FREDERICK PIKE,,640,"Exempt, owned by municipals",E,0000.67900,000000007130.00,000000000000.00,N,,,N,39113-110100-1,,
A01100105 0067,both,CITY OF DAYTON,JACKSON RD,,100,,A,0009.93700,000000051140.00,000000000000.00,N,,,N,39113-110100-1,,
A01100105 0069,both,CITY OF DAYTON,1464 JACKSON RD,,501,,R,0001.95100,000000018870.00,000000000000.00,N,,,N,39113-110100-1,,
A01100105 0081,both,CITY OF DAYTON,10300 FREDERICK PIKE,,640,"Exempt, owned by municipals",E,0001.07600,000000008010.00,000000000000.00,N,,,N,39113-110100-1,,
A01100105 0096,both,DAYTON OH CITY OF,UNION AIRPARK BLVD,,101,,A,0032.92850,000000165440.00,000000000000.00,N,,,N,39113-110100-1,,
A01100105 0111,both,CITY OF DAYTON,10100 FREDERICK PIKE,,101,,A,0010.53200,000000065040.00,000000000000.00,N,,,N,39113-110100-1,,
A01100105 0114,both,CITY OF DAYTON,JACKSON RD,,501,,R,0005.00700,000000049510.00,000000000000.00,N,,,N,39113-110100-1,,
A01100105 0115,county_only,DAYTON CITY OH OF,UNION AIRPARK BLVD,,101,,A,0015.57310,000000092040.00,000000000000.00,N,,,N,,,
A01100106 0015,both,DAYTON CITY OF,UNION AIRPARK BLVD,,100,,A,0092.57400,000000458370.00,000000000000.00,N,,,N,39113-110100-1,,
A01100106 0016,both,DAYTON CITY OF,3111 W NATIONAL RD,,640,"Exempt, owned by municipals",E,0011.45000,000000120230.00,000000000000.00,N,,,N,39113-110100-1,,
A01100106 0026,both,CITY OF DAYTON,3029 W NATIONAL RD,,640,"Exempt, owned by municipals",E,0007.62800,000000034330.00,000000000000.00,N,,,N,39113-110100-1,,
A01100106 0028,both,DAYTON CITY OF,W NATIONAL RD,,640,"Exempt, owned by municipals",E,0001.40200,000000006310.00,000000000000.00,N,,,N,39113-110100-1,,
A01100106 0030,both,DAYTON CITY OF,3455 W NATIONAL RD,,640,"Exempt, owned by municipals",E,0001.87400,000000008430.00,000000000000.00,N,,,N,39113-110100-1,,
A01100106 0031,both,DAYTON CITY OF,3424 W NATIONAL RD,,640,"Exempt, owned by municipals",E,0001.87400,000000008430.00,000000000000.00,N,,,N,39113-110100-1,,
A01100106 0032,both,CITY OF DAYTON,W NATIONAL RD,,640,"Exempt, owned by municipals",E,0002.04400,000000009200.00,000000000000.00,N,,,N,39113-110100-1,,
A01100106 0033,both,DAYTON CITY OF,3501 W NATIONAL RD,,640,"Exempt, owned by municipals",E,0001.78100,000000008010.00,000000000000.00,N,,,N,39113-110100-1,,
A01100106 0034,both,DAYTON CITY OF,W NATIONAL RD,,640,"Exempt, owned by municipals",E,0001.87400,000000008430.00,000000000000.00,N,,,N,39113-110100-1,,
A01100106 0036,both,DAYTON CITY OF,3485 W NATIONAL RD,,640,"Exempt, owned by municipals",E,0001.87400,000000008430.00,000000000000.00,N,,,N,39113-110100-1,,
A01100106 0039,both,CITY OF DAYTON,FREDERICK PIKE,,640,"Exempt, owned by municipals",E,0135.20600,000000822980.00,000000000000.00,N,,,N,39113-110100-1,,
A01100106 0058,both,DAYTON CITY OF,UNION AIRPARK BLVD,,640,"Exempt, owned by municipals",E,0008.44200,000000102000.00,000000000000.00,N,,,N,39113-110100-1,,
A01100204 0013,city_layer_only,,,,,,,,,,N,,,N,,,
A01100204 0015,both,CITY OF DAYTON,PETERS PIKE,,640,"Exempt, owned by municipals",E,0005.00000,000000022500.00,000000000000.00,N,,,N,39113-110100-1,,
A01100204 0019,county_only,CITY OF DAYTON,PETERS PIKE,,640,"Exempt, owned by municipals",E,0000.43500,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01100204 0026,county_only,CITY OF DAYTON,PETERS PIKE,,640,"Exempt, owned by municipals",E,0000.93700,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01100204 0027,county_only,CITY OF DAYTON,PETERS PIKE,,640,"Exempt, owned by municipals",E,0000.07700,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01100204 0028,county_only,CITY OF DAYTON,PETERS PIKE,,640,"Exempt, owned by municipals",E,0000.24100,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01100204 0030,city_layer_only,,,,,,,,,,N,,,N,,,
A01100204 0036,city_layer_only,,,,,,,,,,N,,,N,,,
A01100204 0037,both,CITY OF DAYTON,PETERS PIKE,,640,"Exempt, owned by municipals",E,0006.73900,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01100205 0012,county_only,DAYTON CITY OF,OLD SPRINGFIELD RD,,640,"Exempt, owned by municipals",E,0076.87800,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01200204 0044,county_only,DAYTON CITY OF,11958 PETERS PIKE,BUTLER TWP-DAYTON CITY-VANDALIA-BTLR CSD,640,"Exempt, owned by municipals",E,0002.00000,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
B02 00118 0010,both,DAYTON CITY OF,N DIXIE DR,,640,"Exempt, owned by municipals",E,0001.55640,000000051360.00,000000000000.00,N,,,N,,39.89926552643549,-84.1988918573566
B02 00201 0013,both,"CITY OF DAYTON, OHIO",W NATIONAL RD,,640,"Exempt, owned by municipals",E,0001.39000,000000016680.00,000000000000.00,N,,,N,,,
B02 00201 0014,both,DAYTON CITY OF,W NATIONAL RD,,640,"Exempt, owned by municipals",E,0000.04800,000000000000.00,000000000000.00,N,,,N,,,
B02 00201 0015,both,DAYTON CITY OF,W NATIONAL RD,,640,"Exempt, owned by municipals",E,0000.87500,000000040920.00,000000000000.00,N,,,N,,,
B02 00201 0018,both,DAYTON CITY OF,915 W NATIONAL RD,,640,"Exempt, owned by municipals",E,0000.18100,000000015770.00,000000000000.00,N,,,N,,39.889670595097144,-84.21523860837664
B02 00201 0020,both,DAYTON CITY OF,W NATIONAL RD,,640,"Exempt, owned by municipals",E,0000.19700,000000017160.00,000000000000.00,N,,,N,,39.889624079956704,-84.21579130781588
B02 00201 0022,both,DAYTON CITY OF,W NATIONAL RD,,640,"Exempt, owned by municipals",E,0000.78500,000000049200.00,000000000000.00,N,,,N,,39.889506573996044,-84.21724753679267
B02 00201 0056,both,"CITY OF DAYTON, OHIO",W NATIONAL RD,,640,"Exempt, owned by municipals",E,0001.20000,000000014400.00,000000000000.00,N,,,N,,,
B02 00201 0057,both,DAYTON CITY OF,W NATIONAL RD,,640,"Exempt, owned by municipals",E,0000.89300,000000039780.00,000000000000.00,N,,,N,,,
B02 00201 0068,both,DAYTON CITY OF,W NATIONAL RD,,640,"Exempt, owned by municipals",E,0000.21500,000000018730.00,000000000000.00,N,,,N,,39.88965069960331,-84.21550971700482
B02 00712 0014,both,DAYTON CITY OF,PETERS PIKE,,640,"Exempt, owned by municipals",E,0012.64400,000000379920.00,000000000000.00,N,,,N,39113-115011-1,,
B02 00712 0015,county_only,DAYTON CITY OF,ROADWAY,,640,"Exempt, owned by municipals",E,0000.96400,000000000000.00,000000000000.00,N,,,N,,,
B02 00721 0001,both,DAYTON CITY OF,N DIXIE DR,,640,"Exempt, owned by municipals",E,0045.00000,000000432740.00,000000000000.00,N,,,N,39113-110100-1,39.90541921170368,-84.19642044782981
B02 01013 0001,both,DAYTON CITY OF,W NATIONAL RD,,100,,A,0055.69600,000000173660.00,000000000000.00,N,,,N,39113-115012-1,,
B02 01013 0007,county_only,DAYTON CITY OF,W NATIONAL RD,,640,"Exempt, owned by municipals",E,0000.74400,000000000000.00,000000000000.00,N,,,N,,,
B02 01015 0005,county_only,DAYTON CITY OF,W NATIONAL RD,,640,"Exempt, owned by municipals",E,0001.20000,000000000000.00,000000000000.00,N,,,N,,,
B02 01015 0014,both,DAYTON CITY OF,W NATIONAL RD,,100,,A,0013.80400,000000085050.00,000000000000.00,N,,,N,39113-115012-1,,
B02 01015 0015,both,DAYTON CITY OF,2880 W NATIONAL RD,,100,,A,0012.59900,000000073480.00,000000000000.00,N,,,N,39113-115012-1,,
E20 50411 0008,county_only,CITY OF DAYTON,LOFTY OAKS LN,,550,,R,0000.16700,000000000000.00,000000000000.00,N,,,N,,,
E21 01003 0186,county_only,DAYTON CITY OF,WEBSTER AVE,,640,"Exempt, owned by municipals",E,0000.10400,000000000000.00,000000000000.00,N,,,N,,,
