parcel,source,owner_name,address,jurisdiction,luc,luc_desc,parcel_class,acres,assessed_land,assessed_bldg,has_building,city_department,city_intended_use,development_candidate,census_tract,lat,lon
R72 07001 0028,both,DAYTON CITY OF,119 FOUNTAIN AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002970.00,000000000000.00,N,Public Works,Other,N,39113-000802-3,39.77837831226473,-84.21027208277181
R72 07001 0029,both,DAYTON CITY OF,804 RICHMOND AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002330.00,000000000000.00,N,,,N,39113-000802-3,39.777403902979685,-84.21034185691344
R72 07003 0003,county_only,CITY OF DAYTON,1247 1253 LINDA VISTA AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000010000.00,000000000000.00,N,,,N,39113-000802-1,39.781219635199335,-84.21600186336369
R72 07005 0007,both,DAYTON CITY OF,128 132 SANTA CLARA AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000040000.00,000000000000.00,N,Public Works,Other,N,39113-000802-3,39.780574423062355,-84.21162496124269
R72 07005 0034,both,DAYTON CITY OF,132 134 NIAGARA AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000010200.00,000000000000.00,N,,,Y,39113-000802-3,39.779750109802755,-84.21185029339266
R72 07006 0003,both,DAYTON CITY OF,157 159 VICTOR AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000010630.00,000000000000.00,N,,,Y,39113-000802-3,39.77918580755839,-84.21269760254162
R72 07006 0004,both,DAYTON CITY OF,153 VICTOR AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000004620.00,000000000000.00,N,,,Y,39113-000802-3,39.77910865542286,-84.21252848465382
R72 07006 0018,both,DAYTON CITY OF,1009 1011 RICHMOND AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000007510.00,000000000000.00,N,,,N,39113-000802-3,39.77928972039586,-84.21098168087882
R72 07006 0021,both,DAYTON CITY OF,1005 RICHMOND AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000003400.00,000000000000.00,N,Public Works,Other,N,39113-000802-3,39.779194105481515,-84.21097980862336
R72 07006 0052,both,CITY OF DAYTON,235 FOUNTAIN AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000008720.00,000000000000.00,N,Public Works,Other,N,39113-000802-3,39.77817712773682,-84.2118258670989
R72 07006 0063,both,DAYTON CITY OF,917 RICHMOND AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000000930.00,000000000000.00,N,,,N,39113-000802-3,39.778615887871666,-84.2108263339661
R72 07007 0009,both,DAYTON CITY OF,26 28 SANTA CLARA AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000007340.00,000000000000.00,N,Public Works,Other,N,39113-000802-3,39.78076266847321,-84.20926302001442
R72 07007 0031,both,DAYTON CITY OF,18 VICTOR AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000003510.00,000000000000.00,N,,,N,39113-000802-3,39.78057819973728,-84.20854674129916
R72 07007 0051,both,DAYTON CITY OF,18 VICTOR AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000000390.00,000000000000.00,N,Public Works,Other,N,39113-000802-3,39.780428833801025,-84.20836143852557
R72 07007 0056,both,DAYTON CITY OF,928 RICHMOND AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000008730.00,000000000000.00,N,Public Works,Other,N,39113-000802-3,39.77891779704549,-84.21037074500619
R72 07008 0033,both,DAYTON CITY OF,303 DELAWARE AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000009360.00,000000000000.00,N,,,N,39113-000802-3,39.77737369067538,-84.210739768795
R72 07008 0050,city_layer_only,,,,,,,,,,N,,,N,,39.7769161488182,-84.21074512183324
R72 07010 0042,both,CITY OF DAYTON,220 VICTOR AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000008720.00,000000000000.00,N,Public Works,Other,N,39113-000802-3,39.77876642295904,-84.21396132371713
R72 07010 0043,both,CITY OF DAYTON,212 VICTOR AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000005010.00,000000000000.00,N,,,N,39113-000802-3,39.778683102659535,-84.21380525270911
R72 07010 0045,both,CITY OF DAYTON,VICTOR AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000005010.00,000000000000.00,N,,,N,39113-000802-3,39.77876239550177,-84.21353903497794
R72 07010 0046,both,CITY OF DAYTON,VICTOR AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000012500.00,000000000000.00,N,,,N,39113-000802-3,39.77868854015703,-84.21337829549542
R72 07010 0047,both,CITY OF DAYTON,VICTOR AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000012500.00,000000000000.00,N,,,N,39113-000802-3,39.778690352708416,-84.21323597645097
R72 07011 0029,county_only,CITY OF DAYTON OHIO,DELAWARE AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000008390.00,000000000000.00,N,,,N,39113-000802-3,39.77730803185104,-84.21492186264744
R72 07011 0049,city_layer_only,,,,,,,,,,N,,,N,,39.776840245084884,-84.21517720322517
R72 07101 0002,both,CITY OF DAYTON,VICTOR AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000007660.00,000000000000.00,N,,,N,39113-000802-3,39.78050689154169,-84.20821192953031
R72 07102 0014,both,CITY OF DAYTON,2301 N MAIN ST,DAYTON,400,Commercial vacant land,C,0000.13700,000000018800.00,000000000000.00,N,Public Works,Other,Y,39113-000801-2,39.78494445493153,-84.21077144220344
R72 07102 0033,both,DAYTON CITY OF,2309 N MAIN ST,DAYTON,400,Commercial vacant land,C,0000.09190,000000002840.00,000000000000.00,N,Public Works,Other,Y,39113-000801-2,39.78509396667697,-84.21087476720628
R72 07103 0004,both,CITY OF DAYTON,2613 2615 N MAIN ST,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000010000.00,000000000000.00,N,Planning,Surplus,Y,39113-000801-2,39.787932710449276,-84.21278100519588
R72 07103 0005,both,CITY OF DAYTON,2609 2611 N MAIN ST,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000006950.00,000000000000.00,N,,,N,39113-000801-2,39.78782128692912,-84.21270350830318
R72 07103 0009,both,CITY OF DAYTON,2521 2523 N MAIN ST,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000006950.00,000000000000.00,N,Planning,Surplus,Y,39113-000801-2,39.7873835223081,-84.21240800365607
R72 07103 0010,county_only,DAYTON CITY OF,2517 N MAIN ST,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000006950.00,000000000000.00,N,,,N,39113-000801-2,39.7872584928025,-84.21231956040505
R72 07108 0004,both,DAYTON CITY OF,2213 2215 N MAIN ST,DAYTON,640,"Exempt, owned by municipals",E,0000.44000,000000057500.00,000000751010.00,Y,Public Works,Operations,N,39113-000802-2,39.78443517220372,-84.21067525212369
